# Originally from UniProt known kinase list, but kinase.com may use alternative
# name for different kinases. For some kinases, there are alternative names
# with the same Uniprot id., or name with different cases.
AAK1 Q2M2I8 
HUNK P57058	
ICK Q9UPZ9 
IGF1R P08069 
IKBKB O14920 
IKKB O14920
IKKb O14920
IKBKE Q14164 
IKKE Q14164
IKKe Q14164
ILK Q13418
ILK1 Q13418
INSR P06213 
INSRR P14616 
IRR P14616
HSER P25092
GUCY2C P25092
GYC2C P25092
STAR P25092
IRAK1 P51617 
IRAK2 O43187 
IRAK3 Q9Y616 
IRAK4 Q9NWZ3 
ITK Q08881 
JAK1 P23458 
JAK1a P23458
JAK1b P23458
JAK2 O60674 
JAK2a O60674
JAK2b O60674
JAK3 P52333 
JAK3a P52333
JAK3b P52333
KALRN O60229	
Trad O60229
KDR P35968 
KIT P10721 
KSR1 Q8IVT5 
KSR2 Q6VAB6 
LATS1 O95835	
LATS2 Q9NRM7	
LCK P06239 
LIMK1 P53667 
LIMK2 P53671 
LMTK2 Q8IWU2 
LMR2 Q8IWU2
LMTK3 Q96Q04 
LMR3 Q96Q04
LRRK1 Q38SD2 
LRRK2 Q5S007 
LTK P29376 
LYN P07948 
MAK P20794 
MAP2K1 Q02750 
MAP2K2 P36507 
MAP2K3 P46734 
MAP2K4 P45985 
MAP2K5 Q13163 
MAP2K6 P52564 
MAP2K7 O14733 
MAP3K10 Q02779 
MLK2 Q02779
MAP3K11 Q16584 
MLK3 Q16584
MAP3K12 Q12852 
MAP3K13 O43283 
LZK O43283
MAP3K14 Q99558 
NIK Q99558
MAP3K15 Q6ZN16 
MEKK15 Q6ZN16
MAP3K19 Q56UN5 
MAP3K1 Q13233 
MAP3K20 Q9NYL2 
ZAK Q9NYL2
MLTK Q9NYL2
MAP3K21 Q5TCX8
MLK4 Q5TCX8 
MAP3K2 Q9Y2U5 
MAP3K3 Q99759 
MAP3K4 Q9Y6R4 
MAP3K5 Q99683 
MAP3K6 O95382 
MAP3K7 O43318 
TAK1 O43318
MAP3K8 P41279 
COT P41279
MAP3K9 P80192 
MLK1 P80192
MAP4K1 Q92918 
HPK1 Q92918
MAP4K2 Q12851 
GCK Q12851
MAP4K3 Q8IVH8 
KHS2 Q8IVH8
MAP4K4 O95819 
HGK O95819
MAP4K5 Q9Y4K4 
KHS1 Q9Y4K4
MAPK10 P53779 
JNK3 P53779
MAPK11 Q15759 
p38b Q15759
p38beta Q15759
MAPK12 P53778 
p38g P53778
p38gamma P53778
SAPK3 P53778
MAPK13 O15264 
p38d O15264
p38delta O15264
SAPK4 O15264
MAPK14 Q16539
p38a Q16539
p38alpha Q16539
MAPK15 Q8TD08 
ERK7 Q8TD08
Erk7 Q8TD08
MAPK1 P28482 
ERK2 P28482
Erk2 P28482
MAPK3 P27361 
ERK1 P27361
Erk1 P27361
MAPK4 P31152
ERK4 P31152
Erk4 P31152
MAPK6 Q16659 
ERK3 Q16659
Erk3 Q16659
MAPK7 Q13164 
ERK5 Q13164
Erk5 Q13164
MAPK8 P45983 
JNK1 P45983
MAPK9 P45984 
JNK2 P45984
MAPKAPK2 P49137	
MAPKAPK3 Q16644	
MAPKAPK5 Q8IW41	
MARK1 Q9P0L2	
MARK2 Q7KZI7	
MARK3 P27448	
MARK4 Q96L34	
MAST1 Q9Y2H9	
MAST2 Q6P0Q8	
MAST3 O60307	
MAST4 O15021	
MASTL Q96GX5	
MATK P42679 
CTK P42679
MELK Q14680	
MERTK Q12866 
MER Q12866
MET P08581 
MINK1 Q8N4C8 
MINK Q8N4C8
MKNK1 Q9BUB5	
MNK1 Q9BUB5
MKNK2 Q9HBH9	
MNK2 Q9HBH9
MLKL Q8NB16 
MOK Q9UQ07 
MOS P00540 
MST1R Q04912 
RON Q04912
MTOR P42345 
MUSK O15146 
skMLCK Q9H1R3	
MYLK2 Q9H1R3
caMLCK Q15746
MYLK1 Q15746
